pauta,link,data,editoria,freq_edi
POPULAÇÃO EM SITUAÇÃO DE RUA,https://trello.com/c/Hc6qZHZK,2023-03-27T00:37:41.918Z,Pauta sem editoria,0
PRAIA DOS ARTISTAS IMPRÓPRIA HÁ UM ANO,https://trello.com/c/aIjxO75O,2024-06-04T20:48:01.247Z,Dia,1955
PRAIA DOS ARTISTAS IMPRÓPRIA HÁ UM ANO,https://trello.com/c/aIjxO75O,2024-06-04T20:48:01.247Z,Natal,1515
PRAIA DOS ARTISTAS IMPRÓPRIA HÁ UM ANO,https://trello.com/c/aIjxO75O,2024-06-04T20:48:01.247Z,MAGNUS NASCIMENTO,46
ENEM - INSCRIÇÕES PRORROGADAS E PREPARAÇÃO DOS ALUNOS,https://trello.com/c/S48Swhpw,2024-06-12T21:16:15.280Z,Dia,1955
ENEM - INSCRIÇÕES PRORROGADAS E PREPARAÇÃO DOS ALUNOS,https://trello.com/c/S48Swhpw,2024-06-12T21:16:15.280Z,Natal,1515
PONTE DE IGAPÓ,https://trello.com/c/6OW8U0A2,2024-06-14T18:00:58.949Z,Dia,1955
PONTE DE IGAPÓ,https://trello.com/c/6OW8U0A2,2024-06-14T18:00:58.949Z,Natal,1515
DEMOLIÇÃO DO OITAVO ANDAR DO HOTEL BRA,https://trello.com/c/s05BhJ8v,2024-06-14T18:01:48.931Z,Economia,704
DEMOLIÇÃO DO OITAVO ANDAR DO HOTEL BRA,https://trello.com/c/s05BhJ8v,2024-06-14T18:01:48.931Z,Dia,1955
DEMOLIÇÃO DO OITAVO ANDAR DO HOTEL BRA,https://trello.com/c/s05BhJ8v,2024-06-14T18:01:48.931Z,ALEX RÉGIS,15
CERATOCONE - JUNHO MARROM,https://trello.com/c/R8hDzVCT,2024-06-12T21:04:22.145Z,Natal,1515
CERATOCONE - JUNHO MARROM,https://trello.com/c/R8hDzVCT,2024-06-12T21:04:22.145Z,Dia,1955
